,run_length,rating
1253,[105],7.4
1254,[138],7.2
1255,[134],7.4
1256,[133],7.4
1257,[105],7.6
1258,[115],7.1
1259,[139],6.2
1260,[124],7.0
1261,[104],6.7
1262,[108],7.8
1263,[108],7.7
1264,[131],6.9
1265,[107],6.6
1266,[132],7.7
1267,[109],7.9
1268,[113],7.6
1269,[129],6.8
1270,[89],6.4
1271,[112],6.7
1272,[126],7.7
1273,[126],6.7
1274,[123],6.9
1275,[109],6.6
1276,[142],6.6
1277,[116],6.5
1278,[113],6.8
1279,[124],6.4
1280,[123],6.6
1281,[118],7.4
1282,[151],6.7
1283,[90],7.5
1284,[144],6.9
1285,[154],6.2
1286,[106],7.3
1287,[149],6.0
1288,[109],6.3
1289,[123],6.4
1290,[129],6.6
1291,[113],7.6
1292,[107],7.8
1293,[109],6.7
1294,[115],7.8
1295,[109],8.1
1296,[140],7.5
1297,[158],5.8
1298,[138],7.3
1299,[115],6.5
1300,[118],8.6
1301,[151],8.5
1302,[113],8.4
1303,[138],8.1
1304,[111],8.1
1305,[106],8.5
1306,[99],8.3
1307,[107],8.1
1308,[149],8.1
1309,[122],8.1
1310,[122],8.5
1311,[132],8.2
1312,[91],7.7
1313,[124],8.0
1314,[108],8.0
1315,[117],8.1
1316,[137],8.0
1317,[114],8.0
1318,[112],7.9
1319,[143],7.7
1320,[98],8.1
1321,[115],8.0
1322,[115],7.3
1323,[109],8.5
1324,[144],8.0
1325,[129],8.0
1326,[120],7.7
1327,[170],8.2
1328,[90],7.8
1329,[124],8.0
1330,[105],7.4
1331,[101],7.4
1332,[134],7.4
1333,[116],7.7
1334,[119],7.9
1335,[143],8.0
1336,[104],7.7
1337,[109],7.9
1338,[132],7.4
1339,[117],7.9
1340,[132],8.6
1341,[113],7.6
1342,[89],6.4
1343,[112],8.4
1344,[112],7.5
1345,[108],7.7
1346,[112],7.7
1347,[131],7.6
1348,[116],6.5
1349,[117],7.3
1350,[106],6.6
1351,[149],6.6
1352,[128],7.1
1353,[122],7.7
1354,[110],7.1
1355,[148],6.8
1356,[109],6.7
1357,[130],7.1
1358,[128],7.6
1359,[118],8.1
1360,[137],7.1
1361,[120],7.5
1362,[125],6.5
1363,[101],7.7
1364,[128],8.3
1365,[122],7.5
1366,[137],8.4
1367,[125],7.5
1368,[106],6.8
1369,[111],7.0
1370,[129],7.8
1371,[112],7.0
1372,[131],7.4
1373,[104],7.6
1374,[124],7.2
1375,[132],7.2
1376,[126],6.9
1377,[116],7.2
1378,[103],6.5
1379,[144],7.5
1380,[138],7.3
1381,[122],6.9
1382,[147],8.0
1383,[154],7.5
1384,[123],6.1
1385,[136],7.4
1386,[124],7.2
1387,[130],7.0
1388,[136],6.8
1389,[113],7.5
1390,[159],7.4
1391,[125],4.1
1392,[100],6.4
1393,[136],8.3
1394,[103],6.6
1395,[92],6.3
1396,[130],8.2
1397,[92],6.8
1398,[135],6.7
1399,[142],7.6
1400,[153],8.3
1401,[169],8.6
1402,[116],8.3
1403,[118],8.2
1404,[147],8.4
1405,[102],8.5
1406,[134],7.6
1407,[131],7.6
1408,[154],7.7
1409,[120],8.1
1410,[107],7.0
1411,[144],7.7
1412,[119],8.3
1413,[183],8.1
1414,[131],7.6
1415,[108],7.9
1416,[89],8.5
1417,[161],8.1
1418,[125],8.4
1419,[94],7.8
1420,[162],7.4
1421,[88],8.4
1422,[170],7.6
1423,[133],7.6
1424,[131],8.3
1425,[108],6.3
1426,[94],6.2
1427,[131],7.6
1428,[144],7.3
1429,[162],8.2
1430,[135],8.9
1431,[145],7.2
1432,[172],7.9
1433,[116],6.6
1434,[125],5.9
1435,[145],7.7
1436,[137],7.7
1437,[111],7.0
1438,[197],8.0
1439,[179],8.2
1440,[116],7.5
1441,[150],7.7
1442,[134],6.1
1443,[106],6.9
1444,[152],8.0
1445,[170],8.0
1446,[69],7.8
1447,[167],8.1
1448,[117],5.9
1449,[142],8.3
1450,[113],6.6
1451,[121],8.1
1452,[158],7.7
1453,[175],7.4
1454,[120],8.0
1455,[125],6.3
1456,[127],7.5
1457,[144],7.6
1458,[98],7.9
1459,[128],6.4
1460,[107],7.5
1461,[129],7.8
1462,[118],7.6
1463,[138],8.3
1464,[134],7.4
1465,[113],7.1
1466,[122],6.0
1467,[130],6.9
1468,[101],7.0
1469,[140],8.1
1470,[85],7.7
1471,[138],7.7
1472,[101],5.4
1473,[127],4.5
1474,[113],8.1
1475,[162],8.0
1476,[124],7.4
1477,[118],5.8
1478,[123],6.1
1479,[104],8.0
1480,[134],7.5
1481,[138],7.6
1482,[116],6.7
1483,[99],8.2
1484,[97],7.6
1485,[271],7.6
1486,[119],7.5
1487,[124],7.7
1488,[106],6.6
1489,[154],6.6
1490,[107],7.6
1491,[109],7.2
1492,[195],6.3
1493,[106],7.4
1494,[125],6.9
1495,[122],7.1
1496,[132],6.7
