,release_date,rating
817,[7],7.6
818,[10],7.3
819,[9],7.1
820,[3],6.8
821,[1],7.0
822,[10],7.6
823,[2],7.2
824,[0],7.2
825,[11],7.2
826,[10],7.1
827,[4],6.5
828,[3],6.8
829,[1],6.9
830,[11],6.6
831,[4],7.0
832,[5],6.8
833,[4],6.4
834,[2],6.7
835,[4],6.2
836,[7],7.1
837,[2],7.3
838,[9],6.6
839,[6],6.5
840,[2],6.7
841,[10],6.2
842,[1],7.1
843,[9],7.8
844,[9],6.3
845,[5],7.3
846,[1],6.9
847,[5],7.3
848,[9],6.8
849,[3],6.5
850,[7],7.1
851,[2],6.9
852,[2],6.8
853,[2],6.6
854,[10],7.5
855,[5],5.7
856,[7],7.2
857,[2],6.7
858,[0],6.1
859,[5],7.3
860,[10],6.8
861,[6],6.9
862,[1],6.9
863,[10],7.4
864,[9],8.0
865,[4],6.5
866,[8],6.6
867,[8],6.2
868,[8],6.6
869,[7],5.6
870,[3],7.5
871,[8],6.3
872,[3],7.5
873,[9],6.2
874,[1],6.4
875,[6],7.4
876,[0],5.9
877,[0],6.2
878,[2],7.7
879,[6],7.1
880,[10],7.4
881,[11],7.5
882,[9],6.6
883,[8],5.8
884,[1],7.5
885,[2],6.4
886,[7],7.6
887,[7],6.7
888,[3],6.5
889,[11],6.2
890,[8],6.6
891,[0],6.2
892,[1],7.7
893,[5],5.9
894,[6],5.3
895,[9],6.8
896,[0],7.4
897,[9],7.5
898,[2],7.8
899,[0],6.4
900,[2],8.5
901,[1],8.5
902,[11],8.0
903,[10],8.0
904,[9],7.7
905,[9],7.2
906,[9],7.1
907,[10],7.1
908,[2],8.2
909,[10],7.8
910,[7],7.0
911,[5],6.4
912,[2],7.5
913,[1],7.0
914,[6],7.4
915,[4],6.4
916,[9],7.7
917,[0],7.5
918,[1],6.8
919,[2],7.9
920,[10],7.7
921,[4],7.3
922,[1],6.3
923,[10],6.3
924,[7],6.7
925,[5],7.8
926,[7],6.5
927,[1],6.9
928,[10],7.4
929,[7],5.7
930,[4],7.0
931,[10],7.5
932,[5],6.8
933,[10],6.8
934,[1],6.5
935,[9],6.6
936,[8],7.9
937,[6],6.3
938,[1],7.2
939,[2],7.9
940,[2],7.2
941,[6],7.6
942,[2],6.0
943,[1],6.2
944,[1],7.6
945,[10],6.4
946,[8],7.0
947,[11],7.3
948,[11],6.8
949,[1],6.6
950,[11],6.5
951,[11],6.8
952,[9],6.9
953,[8],7.7
954,[2],6.9
955,[5],7.1
956,[5],7.2
957,[9],8.1
958,[0],6.2
959,[9],6.3
960,[2],7.9
961,[11],6.9
962,[11],5.8
963,[5],6.7
964,[6],5.6
965,[3],6.7
966,[1],7.7
967,[10],7.6
968,[9],6.7
969,[5],8.1
970,[3],6.2
971,[3],6.5
972,[7],7.4
973,[9],5.9
974,[8],7.1
975,[5],7.6
976,[11],5.4
977,[9],6.1
978,[11],7.2
979,[8],6.3
980,[10],7.8
981,[5],7.0
982,[6],7.6
983,[6],7.3
984,[10],7.7
985,[5],6.6
986,[7],6.2
987,[5],7.4
988,[0],7.3
989,[7],6.9
990,[9],7.0
991,[9],5.0
992,[0],3.5
993,[7],5.9
994,[5],6.8
995,[2],7.2
996,[8],7.6
997,[7],7.7
998,[5],7.6
999,[7],5.9
1000,[8],8.6
1001,[9],8.5
1002,[4],8.4
1003,[1],8.1
1004,[7],8.5
1005,[7],8.1
1006,[9],8.1
1007,[0],8.0
1008,[10],7.5
1009,[7],8.0
1010,[7],8.4
1011,[4],7.3
1012,[8],8.5
1013,[8],8.1
1014,[11],7.6
1015,[10],7.9
1016,[0],8.0
1017,[5],7.0
1018,[8],8.2
1019,[10],8.4
1020,[5],7.9
1021,[5],7.6
1022,[11],7.8
1023,[2],7.6
1024,[3],7.5
1025,[1],7.7
1026,[3],7.7
1027,[3],7.8
1028,[2],7.7
1029,[9],8.0
1030,[8],8.4
1031,[6],7.5
1032,[6],7.7
1033,[2],6.7
1034,[11],7.5
1035,[9],7.9
1036,[11],7.8
1037,[8],6.8
1038,[4],6.6
1039,[8],8.3
1040,[10],7.3
1041,[9],7.6
1042,[5],8.1
1043,[4],8.3
1044,[2],8.4
1045,[9],7.4
1046,[8],7.8
1047,[5],7.0
1048,[7],6.7
1049,[2],7.6
1050,[7],7.6
1051,[6],7.9
1052,[10],7.3
1053,[9],7.5
1054,[9],7.1
1055,[9],8.0
1056,[10],6.9
1057,[3],7.7
1058,[6],7.4
1059,[6],6.4
1060,[8],8.3
1061,[5],8.2
1062,[2],7.2
1063,[11],7.2
1064,[3],6.8
1065,[4],7.2
1066,[4],6.7
1067,[5],6.8
1068,[6],7.4
1069,[1],6.9
1070,[9],7.6
1071,[1],6.8
1072,[11],6.9
1073,[0],7.8
1074,[6],6.5
1075,[9],6.6
1076,[6],6.5
1077,[10],7.2
1078,[3],7.3
1079,[2],6.2
1080,[9],6.3
1081,[3],6.8
1082,[5],7.3
1083,[5],7.3
1084,[11],6.5
1085,[9],6.8
1086,[3],7.8
1087,[6],7.2
1088,[2],6.9
1089,[2],6.8
1090,[10],6.5
1091,[7],7.7
1092,[5],5.0
1093,[1],6.4
1094,[4],8.2
1095,[6],6.9
1096,[1],6.9
1097,[1],7.6
1098,[0],7.1
1099,[8],6.6
1100,[6],8.8
1101,[11],7.8
1102,[2],8.3
1103,[0],8.3
1104,[11],8.0
1105,[1],8.3
1106,[11],7.7
1107,[1],8.6
1108,[11],7.8
1109,[1],8.0
1110,[0],8.0
1111,[11],7.8
1112,[0],8.5
1113,[5],7.8
1114,[4],7.2
1115,[7],7.7
1116,[6],7.4
1117,[9],8.0
1118,[11],7.9
1119,[10],7.6
1120,[10],5.2
1121,[5],7.4
1122,[10],7.7
1123,[7],7.1
1124,[5],7.7
1125,[4],8.3
1126,[8],7.0
1127,[5],6.9
1128,[11],7.0
1129,[5],7.7
1130,[6],6.5
1131,[11],6.8
1132,[6],6.9
1133,[1],6.8
1134,[0],7.7
1135,[9],7.7
1136,[11],7.4
1137,[8],7.6
1138,[5],7.8
1139,[9],7.0
1140,[1],4.1
1141,[1],6.6
1142,[2],7.3
1143,[5],6.7
1144,[6],7.1
1145,[0],8.1
1146,[2],7.0
1147,[9],7.2
1148,[11],7.7
1149,[4],7.1
1150,[5],7.6
1151,[4],6.8
1152,[0],8.1
1153,[3],7.1
1154,[11],8.0
1155,[11],6.3
1156,[3],8.0
1157,[10],7.8
1158,[11],6.9
1159,[0],7.8
1160,[2],7.0
1161,[7],7.1
1162,[2],8.2
1163,[11],7.3
1164,[11],6.9
1165,[5],7.2
1166,[0],7.6
1167,[6],8.0
1168,[0],7.9
1169,[8],6.5
1170,[10],7.2
1171,[11],8.0
1172,[3],6.7
1173,[1],6.7
1174,[1],6.9
1175,[1],6.4
1176,[3],8.3
1177,[8],7.8
1178,[10],7.2
1179,[6],6.4
1180,[0],6.2
1181,[9],7.2
1182,[10],6.7
1183,[7],7.4
1184,[1],6.4
1185,[0],7.6
1186,[8],7.9
1187,[6],6.4
1188,[11],7.2
1189,[3],6.7
1190,[5],7.4
1191,[11],7.0
1192,[0],7.9
1193,[0],7.4
1194,[7],7.0
1195,[2],7.0
1196,[6],7.0
1197,[0],7.3
1198,[6],7.6
1199,[5],5.6
1200,[6],8.8
1201,[2],8.7
1202,[10],8.6
1203,[4],8.0
1204,[9],8.5
1205,[6],8.5
1206,[2],8.2
1207,[6],8.5
1208,[4],7.9
1209,[5],8.1
1210,[2],8.3
1211,[4],8.1
1212,[11],7.9
1213,[5],8.1
1214,[2],7.2
1215,[3],8.4
1216,[9],8.0
1217,[5],8.4
1218,[9],7.7
1219,[4],7.2
1220,[1],8.3
1221,[9],8.0
1222,[0],8.0
1223,[6],6.9
1224,[4],7.3
1225,[3],7.7
1226,[4],7.0
1227,[5],7.0
1228,[5],8.1
1229,[4],7.3
1230,[4],8.0
1231,[4],7.8
1232,[6],8.3
1233,[5],7.7
1234,[7],7.9
1235,[2],8.1
1236,[2],6.4
1237,[1],7.3
1238,[6],7.0
1239,[4],8.3
1240,[5],7.9
1241,[4],7.9
1242,[10],7.9
1243,[5],7.0
1244,[0],8.0
1245,[6],7.4
1246,[5],7.0
1247,[6],6.9
1248,[11],7.8
1249,[5],7.3
1250,[8],7.4
1251,[0],8.0
1252,[6],7.0
1253,[2],7.4
1254,[4],7.2
1255,[4],7.4
1256,[6],7.4
1257,[7],7.6
1258,[6],7.1
1259,[4],6.2
1260,[3],7.0
1261,[4],6.7
1262,[10],7.8
1263,[3],7.7
1264,[6],6.9
1265,[4],6.6
1266,[4],7.7
1267,[0],7.9
1268,[0],7.6
1269,[10],6.8
1270,[6],6.4
1271,[5],6.7
1272,[4],7.7
1273,[6],6.7
1274,[2],6.9
1275,[7],6.6
1276,[4],6.6
1277,[5],6.5
1278,[8],6.8
1279,[4],6.4
1280,[10],6.6
1281,[4],7.4
1282,[6],6.7
1283,[3],7.5
1284,[4],6.9
1285,[5],6.2
1286,[10],7.3
1287,[5],6.0
1288,[6],6.3
1289,[4],6.4
1290,[4],6.6
1291,[5],7.6
