,run_length,genres,release_date,rating,movie_rated_pg-13,movie_rated_r,movie_rated_pg,movie_rated_g,movie_rated_not rated,movie_rated_approved,movie_rated_passed,movie_rated_nc-17,movie_rated_tv-ma,movie_rated_null,movie_rated_gp,movie_rated_m/pg,movie_rated_tv-14,movie_rated_tv-pg
126,1h 30min,Animation; Adventure; Comedy; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
127,1h 26min,Animation; Adventure; Comedy; ,4,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
128,1h 57min,Animation; Comedy; ,5,7.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
129,1h 45min,Animation; Adventure; ,10,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
130,2h 14min,Animation; Adventure; Fantasy; ,11,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
131,1h 57min,Animation; Action; Adventure; ,11,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
132,1h 40min,Animation; Action; Adventure; ,1,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
133,1h 59min,Animation; Adventure; ,5,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
134,1h 44min,Animation; Adventure; Comedy; ,5,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
135,1h 27min,Animation; Adventure; Comedy; ,6,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
136,1h 42min,Animation; Action; Adventure; ,5,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
137,1h 16min,Animation; Fantasy; ,9,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
138,1h 26min,Animation; Fantasy; ,6,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
139,1h 33min,Animation; Adventure; Comedy; ,4,6.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
140,1h 35min,Animation; Adventure; Comedy; ,10,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
141,1h 47min,Animation; Adventure; Comedy; ,10,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
142,1h 31min,Animation; Adventure; Comedy; ,2,6.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
143,1h 30min,Animation; Action; Adventure; ,4,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
144,1h 28min,Animation; Adventure; ,5,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
145,1h 58min,Animation; Action; Adventure; ,5,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
146,1h 17min,Animation; Drama; ,8,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
147,1h 37min,Animation; Adventure; Comedy; ,5,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
148,1h 23min,Animation; Fantasy; ,10,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
149,1h 47min,Animation; Adventure; Comedy; ,2,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
150,1h 29min,Animation; Drama; War; ,6,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
151,1h 35min,Animation; Action; Comedy; ,10,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
152,1h 34min,Animation; Adventure; Comedy; ,6,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
153,1h 31min,Animation; Comedy; ,8,7.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
154,1h 47min,Animation; Action; Adventure; ,11,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
155,1h 31min,Animation; Adventure; Comedy; ,6,6.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
156,1h 36min,Animation; Adventure; Comedy; ,3,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
157,1h 30min,Animation; Adventure; Comedy; ,8,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
158,1h 33min,Animation; Adventure; Comedy; ,5,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
159,1h 29min,Animation; Adventure; Comedy; ,10,6.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
160,1h 28min,Animation; Adventure; ,5,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
161,1h 58min,Animation; Adventure; Drama; ,6,6.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
162,1h 27min,Animation; Adventure; Comedy; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
163,1h 40min,Animation; Drama; ,1,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
164,1h 21min,Animation; Comedy; Fantasy; ,5,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
165,1h 28min,Animation; Adventure; Comedy; ,6,6.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
166,1h 38min,Animation; Action; Adventure; ,2,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
167,1h 36min,Animation; Adventure; Comedy; ,10,6.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
168,1h 40min,Animation; Adventure; Comedy; ,5,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
169,1h 33min,Animation; Adventure; Comedy; ,4,6.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
170,1h 27min,Animation; Adventure; Comedy; ,6,6.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
171,1h 44min,Animation; Adventure; Comedy; ,5,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
172,1h 23min,Animation; Fantasy; ,1,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
173,1h 18min,Animation; Adventure; Comedy; ,11,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
174,1h 46min,Animation; Drama; Fantasy; ,3,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
175,1h 47min,Animation; Comedy; ,10,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
176,1h 24min,Animation; Adventure; Comedy; ,5,7.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
177,1h 29min,Animation; Adventure; Comedy; ,7,6.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
178,1h 26min,Animation; Action; Adventure; ,7,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
179,1h 40min,Animation; Adventure; Comedy; ,10,6.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
180,1h 48min,Animation; Adventure; Comedy; ,10,6.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
181,1h 21min,Animation; Adventure; Drama; ,5,6.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
182,1h 30min,Animation; Adventure; Comedy; ,9,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
183,1h 25min,Animation; Adventure; Comedy; ,5,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
184,1h 18min,Animation; Adventure; ,9,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
185,1h 32min,Animation; Comedy; Drama; ,3,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
186,1h 55min,Animation; Action; Adventure; ,10,6.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
187,1h 33min,Animation; Adventure; Comedy; ,5,6.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
188,2h 4min,Animation; Drama; Sci-Fi; ,6,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
189,1h 28min,Animation; Adventure; Comedy; ,10,6.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
190,1h 23min,Animation; Adventure; Comedy; ,4,6.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
191,1h 46min,Animation; Adventure; Comedy; ,5,6.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
192,1h 37min,Animation; Action; Adventure; ,10,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
193,1h 19min,Animation; Adventure; Comedy; ,0,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
194,1h 23min,Animation; Adventure; Comedy; ,9,6.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
195,2h 5min,Animation; Adventure; Drama; ,7,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
196,1h 34min,Animation; Action; Adventure; ,2,6.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False
197,1h 57min,Animation; Adventure; Fantasy; ,10,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
198,1h 14min,Animation; Fantasy; ,2,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
199,1h 30min,Animation; Adventure; Comedy; ,9,6.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
200,3h 15min,Biography; Drama; History; ,1,8.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
201,3h,Biography; Crime; Drama; ,11,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
202,2h 26min,Biography; Crime; Drama; ,8,8.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
203,2h 58min,Biography; Drama; History; ,4,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
204,2h 15min,Biography; Drama; ,0,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
205,2h 21min,Biography; Crime; Drama; ,11,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
206,1h 52min,Biography; Comedy; Drama; ,6,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
207,2h 30min,Biography; Drama; Music; ,2,8.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
208,1h 54min,Biography; Drama; Thriller; ,11,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
209,1h 58min,Biography; Drama; History; ,11,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
