,movie_rated,run_length,genres,release_date,rating
706,R,2h 19min,Biography; Drama; History; ,4 November 2016 (USA),8.1
707,R,2h 40min,Biography; Drama; History; ,19 September 1984 (USA),8.3
708,R,2h 24min,Drama; History; War; ,18 January 2002 (USA),7.7
709,PG-13,1h 50min,Drama; Fantasy; History; ,1 September 2006 (USA),7.6
710,PG-13,2h 1min,Biography; Drama; History; ,4 February 2005 (USA),8.1
711,R,2h 36min,Biography; Drama; History; ,8 April 2005 (USA),8.2
712,PG-13,3h 3min,Action; Drama; History; ,25 May 2001 (USA),6.2
713,PG-13,2h 38min,Drama; History; ,25 December 2012 (USA),7.6
714,Passed,3h 58min,Drama; History; Romance; ,17 January 1940 (USA),8.1
715,PG-13,2h 22min,Drama; History; Thriller; ,16 October 2015 (USA),7.6
716,R,2h 37min,Drama; History; Thriller; ,11 January 2013 (USA),7.4
717,PG,2h 20min,Adventure; Drama; History; ,30 June 1995 (USA),7.6
718,R,2h 45min,Action; Drama; History; ,28 June 2000 (USA),7.2
719,PG-13,2h 30min,Biography; Drama; History; ,16 November 2012 (USA),7.3
720,R,2h 11min,Drama; History; War; ,16 March 2001 (USA),7.6
721,PG-13,2h 3min,Crime; Drama; History; ,28 March 2008 (USA),6.8
722,PG-13,2h 1min,Drama; History; Thriller; ,25 December 2008 (USA),7.1
723,Not Rated,2h 52min,Adventure; Drama; History; ,4 July 1963 (USA),8.2
724,PG,3h 11min,Biography; Drama; History; ,25 February 1983 (USA),8.0
725,G,3h 32min,Adventure; Drama; History; ,29 January 1960 (Brazil),8.1
726,R,2h 3min,Comedy; Drama; History; ,8 January 1999 (USA),7.1
727,R,2h 44min,Action; Drama; History; ,6 January 2006 (USA),7.5
728,PG,2h 7min,Biography; Drama; History; ,6 January 2017 (USA),7.8
729,PG-13,1h 54min,Drama; History; Thriller; ,4 January 2013 (USA),7.6
730,R,2h 27min,Biography; Drama; History; ,14 August 2015 (USA),7.9
731,PG-13,2h 24min,Biography; Drama; History; ,3 June 2005 (USA),8.0
732,R,2h 3min,Biography; Drama; History; ,19 January 2007 (USA),7.7
733,PG-13,2h,Action; Adventure; History; ,27 August 2004 (USA),7.9
734,PG-13,2h 21min,Biography; Drama; History; ,12 October 2018 (USA),7.3
735,PG-13,2h 14min,Biography; Drama; History; ,11 December 2009 (USA),7.3
736,PG-13,1h 47min,Action; Drama; History; ,30 September 2016 (USA),7.1
737,PG,3h 5min,Adventure; Drama; History; ,18 December 1975 (USA),8.1
738,R,3h 9min,Drama; History; Thriller; ,20 December 1991 (USA),8.0
739,R,2h 34min,Adventure; Drama; History; ,25 December 2003 (USA),7.2
740,R,2h 17min,Action; Drama; History; ,16 January 2009 (USA),7.2
741,R,2h 18min,Action; Drama; History; ,1 March 2002 (USA),7.2
742,PG-13,1h 58min,Comedy; Drama; History; ,7 February 2014 (USA),6.1
743,R,2h 2min,Biography; Drama; History; ,16 February 1990 (USA),7.8
744,R,1h 42min,Action; Adventure; History; ,27 August 1999 (USA),6.6
745,PG,2h 33min,Action; Drama; History; ,25 December 1987 (USA),7.7
746,Not Rated,2h 47min,Comedy; Drama; History; ,26 January 2006 (USA),8.2
747,PG-13,2h 13min,Adventure; Drama; History; ,21 January 2011 (USA),7.3
748,PG-13,2h 13min,Drama; Fantasy; History; ,12 October 2007 (USA),7.3
749,PG-13,1h 43min,Biography; Drama; History; ,17 November 2006 (USA),7.3
750,PG-13,1h 55min,Biography; Drama; History; ,29 February 2008 (USA),6.7
751,R,2h 2min,Biography; Drama; History; ,23 January 2009 (USA),7.7
752,PG,2h 18min,Biography; Drama; History; ,9 April 1976 (USA),8.0
753,PG-13,2h 3min,Biography; Drama; History; ,20 October 2006 (USA),6.4
754,R,2h 47min,Drama; History; Thriller; ,22 December 2006 (USA),6.7
755,R,1h 51min,Drama; History; Sci-Fi; ,28 April 2006 (USA),7.5
756,R,2h 41min,Drama; History; ,13 January 2017 (USA),7.2
757,PG,1h 33min,Biography; Drama; History; ,4 November 2005 (USA),7.4
758,PG-13,2h 43min,Biography; Drama; History; ,15 April 1988 (USA),7.7
759,R,2h 4min,Biography; Drama; History; ,19 February 1999 (USA),7.4
760,R,2h 8min,Crime; Drama; History; ,27 January 1989 (USA),7.8
761,Passed,2h 9min,Drama; History; ,15 March 1940 (USA),8.0
762,PG-13,2h 8min,Biography; Drama; History; ,9 January 2015 (USA),7.5
763,PG-13,3h 22min,Biography; Drama; History; ,18 November 1992 (USA),7.7
764,PG-13,2h 15min,Biography; Drama; History; ,20 January 2006 (USA),6.7
765,R,1h 47min,Comedy; Drama; History; ,9 March 2018 (USA),7.2
766,R,1h 37min,Action; Drama; History; ,30 July 2010 (USA),6.4
767,PG-13,1h 50min,Biography; Drama; History; ,10 October 2008 (USA),6.9
768,PG-13,2h 9min,Drama; Fantasy; History; ,9 August 2006 (USA),5.9
769,R,2h 20min,Biography; Drama; History; ,1 November 2019 (USA),7.2
770,PG-13,2h 21min,Biography; Drama; History; ,21 April 2017 (USA),6.6
771,R,1h 40min,Biography; Drama; History; ,2 December 2016 (USA),6.7
772,R,1h 51min,Drama; History; War; ,17 April 2015 (India),7.0
773,R,2h 35min,Biography; Drama; History; ,25 December 1997 (USA),7.3
774,R,2h 24min,Drama; History; Mystery; ,5 March 2010 (USA),7.8
775,PG-13,1h 54min,Biography; Drama; History; ,12 October 2007 (USA),6.8
776,PG-13,2h 20min,Drama; History; Sport; ,25 July 2003 (USA),7.3
777,R,2h 17min,Crime; Drama; History; ,9 May 2016 (India),6.5
778,R,2h 10min,Action; Drama; History; ,19 January 2018 (USA),6.6
779,PG-13,2h 13min,Biography; Drama; History; ,7 October 1994 (USA),7.5
780,PG-13,1h 57min,Action; Drama; History; ,29 January 2016 (USA),6.8
781,PG-13,2h 18min,Drama; History; Thriller; ,19 July 2002 (USA),6.7
782,PG,1h 45min,Biography; Drama; History; ,8 January 2010 (USA),7.3
783,Not Rated,2h 42min,Action; Drama; History; ,25 April 2012 (USA),6.7
784,PG,2h 5min,Adventure; Drama; History; ,31 October 1986 (USA),7.4
785,PG-13,2h 25min,Drama; History; Thriller; ,12 January 2001 (USA),7.3
786,PG-13,1h 49min,Biography; Drama; History; ,10 April 2015 (USA),7.3
787,R,1h 53min,Drama; History; War; ,11 December 2015 (USA),6.6
788,Not Rated,1h 6min,Drama; History; Thriller; ,24 December 1925 (Soviet Union),8.0
789,Not Rated,2h 10min,Drama; History; ,22 January 2016 (USA),8.0
790,G,2h 58min,Action; Drama; History; ,4 October 1962 (USA),7.8
791,PG-13,2h 18min,Action; Drama; History; ,8 November 2019 (USA),6.7
792,PG,2h 55min,Drama; History; War; ,15 June 1977 (USA),7.4
793,R,2h 21min,Biography; Drama; History; ,1 February 1985 (USA),7.8
794,R,2h 26min,Drama; History; Romance; ,16 December 2011 (China),7.6
795,R,2h 3min,Action; Drama; History; ,29 March 2019 (USA),7.6
796,PG,2h 15min,Biography; Drama; History; ,6 February 2004 (USA),7.5
797,R,2h 23min,Crime; Drama; History; ,4 August 2017 (USA),7.3
798,Passed,1h 54min,Biography; Drama; History; ,25 October 1928 (France),8.1
799,R,1h 29min,Drama; History; Music; ,8 June 2018 (Poland),7.6
800,R,2h 26min,Drama; Horror; ,13 June 1980 (USA),8.4
801,R,1h 57min,Horror; Sci-Fi; ,22 June 1979 (USA),8.4
802,PG-13,1h 56min,Action; Adventure; Horror; ,21 June 2013 (USA),7.0
803,R,1h 49min,Horror; Mystery; Thriller; ,8 September 1960 (USA),8.5
804,R,1h 39min,Comedy; Horror; ,24 September 2004 (USA),7.9
805,R,1h 44min,Horror; Mystery; Thriller; ,24 February 2017 (USA),7.7
806,R,2h 15min,Horror; ,8 September 2017 (USA),7.3
807,R,1h 52min,Horror; Mystery; Thriller; ,19 July 2013 (USA),7.5
808,PG-13,1h 57min,Horror; Thriller; ,20 January 2017 (USA),7.3
809,PG-13,1h 30min,Drama; Horror; Sci-Fi; ,6 April 2018 (USA),7.5
810,R,1h 43min,Horror; Mystery; ,29 October 2004 (USA),7.6
811,R,1h 53min,Drama; Horror; Sci-Fi; ,27 June 2003 (USA),7.6
812,PG-13,1h 25min,Action; Adventure; Horror; ,18 January 2008 (USA),7.0
813,R,1h 35min,Horror; ,13 April 2012 (USA),7.0
814,R,1h 49min,Horror; Mystery; Sci-Fi; ,25 June 1982 (USA),8.1
815,R,2h 2min,Horror; ,26 December 1973 (USA),8.0
816,R,1h 56min,Drama; Horror; ,21 December 2007 (USA),7.3
817,PG-13,1h 44min,Horror; Mystery; Thriller; ,10 August 2001 (USA),7.6
818,R,1h 45min,Fantasy; Horror; Mystery; ,19 November 1999 (USA),7.3
819,PG-13,1h 55min,Horror; Mystery; ,18 October 2002 (USA),7.1
820,PG-13,2h 2min,Action; Fantasy; Horror; ,2 April 2004 (USA),6.8
821,R,2h 1min,Action; Fantasy; Horror; ,18 February 2005 (USA),7.0
822,R,2h 3min,Drama; Horror; ,11 November 1994 (USA),7.6
823,PG-13,1h 43min,Drama; Horror; Mystery; ,11 March 2016 (USA),7.2
824,R,1h 48min,Action; Crime; Horror; ,19 January 1996 (USA),7.2
825,R,1h 51min,Horror; Mystery; ,20 December 1996 (USA),7.2
826,R,2h 6min,Horror; Sci-Fi; ,21 November 2007 (USA),7.1
827,R,1h 54min,Action; Horror; Sci-Fi; ,22 May 1992 (USA),6.5
828,PG-13,1h 43min,Horror; Mystery; Thriller; ,1 April 2011 (USA),6.8
829,R,1h 55min,Adventure; Drama; Horror; ,23 February 2018 (USA),6.9
830,R,2h 4min,Drama; Horror; Sci-Fi; ,21 December 2018 (USA),6.6
831,R,1h 40min,Horror; Sci-Fi; ,11 May 2007 (USA),7.0
832,PG-13,1h 44min,Fantasy; Horror; Mystery; ,22 June 2007 (USA),6.8
833,R,2h 2min,Horror; Sci-Fi; Thriller; ,19 May 2017 (USA),6.4
834,R,1h 40min,Action; Horror; Sci-Fi; ,15 March 2002 (USA),6.7
835,PG-13,1h 53min,Comedy; Fantasy; Horror; ,11 May 2012 (USA),6.2
836,R,2h,Action; Horror; Sci-Fi; ,21 August 1998 (USA),7.1
837,R,1h 41min,Action; Horror; ,19 March 2004 (USA),7.3
838,R,1h 33min,Horror; Mystery; ,28 October 2005 (USA),6.6
839,R,1h 21min,Horror; Mystery; ,30 July 1999 (USA),6.5
840,R,1h 38min,Horror; Thriller; ,17 March 2000 (USA),6.7
841,R,1h 49min,Action; Horror; Sci-Fi; ,26 November 1997 (USA),6.2
842,R,1h 49min,Action; Horror; Sci-Fi; ,18 February 2000 (USA),7.1
843,R,1h 31min,Horror; Thriller; ,27 October 1978 (USA),7.8
844,R,1h 26min,Horror; Mystery; Thriller; ,16 October 2009 (USA),6.3
845,R,2h 14min,Horror; Mystery; Thriller; ,10 June 2016 (USA),7.3
846,PG-13,1h 38min,Comedy; Horror; Romance; ,1 February 2013 (USA),6.9
847,R,2h 7min,Drama; Horror; Mystery; ,8 June 2018 (USA),7.3
848,R,1h 50min,Horror; Mystery; Thriller; ,12 October 2012 (USA),6.8
849,R,2h 5min,Horror; ,21 April 2006 (USA),6.5
850,R,1h 28min,Crime; Horror; Thriller; ,26 August 2016 (USA),7.1
851,R,1h 56min,Horror; Mystery; Thriller; ,22 March 2019 (USA),6.9
852,R,1h 40min,Horror; Mystery; Thriller; ,13 March 2015 (USA),6.8
853,R,1h 44min,Horror; Sci-Fi; Thriller; ,24 March 2017 (USA),6.6
854,R,1h 31min,Horror; ,16 November 1984 (USA),7.5
855,R,1h 25min,Horror; Thriller; ,7 June 2013 (USA),5.7
856,R,1h 39min,Adventure; Horror; Thriller; ,4 August 2006 (USA),7.2
857,R,1h 57min,Action; Fantasy; Horror; ,22 March 2002 (USA),6.7
858,R,1h 28min,Action; Fantasy; Horror; ,25 January 2013 (USA),6.1
859,PG,1h 46min,Comedy; Fantasy; Horror; ,8 June 1984 (USA),7.3
860,Not Rated,1h 34min,Drama; Horror; ,28 November 2014 (USA),6.8
861,R,2h 3min,Horror; Mystery; Thriller; ,24 July 2009 (USA),6.9
862,R,1h 32min,Drama; Horror; Mystery; ,19 February 2016 (USA),6.9
863,R,2h 8min,Horror; ,13 November 1992 (USA),7.4
864,R,2h 17min,Drama; Horror; ,17 October 1968 (France),8.0
865,PG-13,1h 39min,Horror; Thriller; ,29 May 2009 (USA),6.5
866,R,2h 49min,Drama; Fantasy; Horror; ,6 September 2019 (USA),6.6
867,R,1h 34min,Action; Horror; Sci-Fi; ,10 September 2004 (USA),6.2
868,R,2h 1min,Drama; Horror; Mystery; ,15 September 2017 (USA),6.6
869,PG-13,1h 41min,Action; Adventure; Horror; ,13 August 2004 (USA),5.6
870,NC-17,1h 25min,Horror; ,15 April 1983 (USA),7.5
871,R,1h 34min,Action; Horror; Sci-Fi; ,21 September 2007 (USA),6.3
872,R,3h 11min,Action; Horror; Thriller; ,6 April 2007 (USA),7.5
873,R,1h 48min,Horror; Mystery; Thriller; ,27 October 2006 (USA),6.2
874,PG-13,1h 35min,Drama; Fantasy; Horror; ,3 February 2012 (USA),6.4
875,R,1h 24min,Drama; Horror; Mystery; ,10 July 1998 (USA),7.4
876,R,1h 34min,Horror; ,6 January 2006 (USA),5.9
877,PG-13,1h 40min,Horror; Thriller; ,18 January 2013 (USA),6.2
878,PG-13,1h 59min,Drama; Horror; Mystery; ,29 March 1963 (USA),7.7
879,R,2h 28min,Drama; Horror; Mystery; ,3 July 2019 (USA),7.1
880,R,1h 38min,Horror; ,16 November 1976 (USA),7.4
881,R,1h 29min,Comedy; Horror; ,9 December 2010 (Kazakhstan),7.5
882,R,1h 53min,Action; Horror; Thriller; ,19 October 2007 (USA),6.6
883,R,1h 36min,Action; Adventure; Horror; ,10 September 2010 (USA),5.8
884,R,1h 21min,Comedy; Horror; ,19 February 1993 (USA),7.5
885,R,1h 47min,Horror; Thriller; ,10 March 2006 (USA),6.4
886,R,1h 36min,Drama; Horror; Sci-Fi; ,15 August 1986 (USA),7.6
887,R,1h 36min,Horror; Sci-Fi; Thriller; ,15 August 1997 (USA),6.7
888,R,1h 31min,Fantasy; Horror; Thriller; ,5 April 2013 (USA),6.5
889,R,2h,Horror; Mystery; ,12 December 1997 (USA),6.2
890,PG-13,1h 46min,Horror; Mystery; Thriller; ,13 September 2013 (USA),6.6
891,R,1h 30min,Horror; Thriller; ,31 January 2003 (USA),6.2
892,R,1h 26min,Comedy; Horror; ,13 February 2015 (USA),7.7
893,R,1h 45min,Action; Fantasy; Horror; ,22 June 2012 (USA),5.9
894,R,1h 23min,Comedy; Horror; ,4 July 2001 (USA),5.3
895,R,2h 2min,Horror; Mystery; Thriller; ,19 October 2001 (USA),6.8
896,R,1h 45min,Drama; Fantasy; Horror; ,11 January 2008 (USA),7.4
897,TV-MA,1h 58min,Action; Horror; Thriller; ,21 October 2016 (India),7.5
898,R,1h 24min,Comedy; Horror; ,13 March 1987 (USA),7.8
899,R,1h 28min,Action; Fantasy; Horror; ,20 January 2012 (USA),6.4
900,R,2h 30min,Biography; Drama; Music; ,28 March 2003 (USA),8.5
901,R,1h 46min,Drama; Music; ,20 February 2015 (India),8.5
902,PG-13,2h 8min,Comedy; Drama; Music; ,25 December 2016 (USA),8.0
903,PG-13,2h 14min,Biography; Drama; Music; ,2 November 2018 (USA),8.0
904,R,2h 16min,Drama; Music; Romance; ,5 October 2018 (USA),7.7
905,PG-13,1h 52min,Comedy; Music; Romance; ,5 October 2012 (USA),7.2
906,PG-13,1h 49min,Comedy; Music; ,3 October 2003 (USA),7.1
907,R,1h 50min,Drama; Music; ,8 November 2002 (USA),7.1
908,Not Rated,2h 1min,Comedy; Music; Romance; ,19 March 1959 (USA),8.2
909,PG-13,2h 16min,Biography; Drama; Music; ,18 November 2005 (USA),7.8
910,PG-13,1h 40min,Drama; Music; Romance; ,21 August 1987 (USA),7.0
911,R,1h 49min,Comedy; Music; ,4 June 2010 (USA),6.4
912,R,1h 53min,Comedy; Drama; Music; ,31 March 2000 (USA),7.5
913,PG-13,1h 34min,Comedy; Music; ,14 February 1992 (USA),7.0
914,R,1h 44min,Comedy; Drama; Music; ,11 July 2014 (USA),7.4
915,PG-13,1h 55min,Comedy; Music; ,15 May 2015 (USA),6.4
916,PG-13,2h 32min,Biography; Drama; Music; ,29 October 2004 (USA),7.7
917,R,1h 44min,Comedy; Drama; Music; ,10 January 2014 (USA),7.5
918,PG-13,1h 37min,Comedy; Music; Romance; ,13 February 1998 (USA),6.8
919,R,1h 22min,Comedy; Music; ,2 March 1984 (USA),7.9
920,R,1h 50min,Drama; Music; ,10 November 2000 (USA),7.7
921,R,2h 1min,Biography; Drama; Music; ,31 May 2019 (USA),7.3
922,PG-13,1h 46min,Comedy; Drama; Music; ,5 February 2016 (USA),6.3
923,R,2h 9min,Action; Drama; Music; ,25 November 1992 (USA),6.3
924,PG-13,1h 47min,Drama; Fantasy; Music; ,22 August 2014 (USA),6.7
925,R,1h 26min,Drama; Music; Romance; ,15 June 2007 (USA),7.8
926,PG-13,1h 44min,Crime; Drama; Music; ,11 August 2006 (USA),6.5
927,PG,1h 30min,Adventure; Comedy; Music; ,17 February 1989 (USA),6.9
928,R,1h 57min,Comedy; Drama; Music; ,13 November 2009 (USA),7.4
929,PG-13,1h 40min,Comedy; Drama; Music; ,4 August 2000 (USA),5.7
930,R,1h 35min,Horror; Music; Thriller; ,13 May 2016 (USA),7.0
931,PG,1h 54min,Drama; Music; ,21 November 2007 (USA),7.5
932,PG-13,1h 56min,Comedy; Fantasy; Music; ,28 June 2019 (USA),6.8
933,R,1h 33min,Adventure; Comedy; Music; ,22 November 2006 (USA),6.8
934,PG-13,1h 44min,Comedy; Music; Romance; ,14 February 2007 (USA),6.5
935,PG-13,1h 30min,Comedy; Drama; Music; ,3 October 2008 (USA),6.6
936,R,1h 34min,Drama; Music; Mystery; ,8 September 1993 (France),7.9
937,R,1h 52min,Comedy; Music; Romance; ,6 July 2012 (USA),6.3
938,R,1h 52min,Drama; Music; Romance; ,5 February 2010 (USA),7.2
939,PG-13,1h 46min,Comedy; Drama; Music; ,17 March 2016 (Ireland),7.9
940,R,2h 20min,Biography; Drama; Music; ,1 March 1991 (USA),7.2
941,PG-13,2h 20min,Biography; Drama; Music; ,20 July 2007 (USA),7.6
942,PG,1h 47min,Drama; Music; Romance; ,31 March 2010 (USA),6.0
943,PG-13,1h 38min,Drama; Music; Romance; ,14 February 2008 (USA),6.2
944,R,2h 1min,Drama; Music; Romance; ,11 February 1994 (USA),7.6
945,PG-13,1h 59min,Drama; Music; ,24 November 2010 (USA),6.4
946,R,1h 35min,Comedy; Drama; Music; ,5 September 2014 (USA),7.0
947,R,2h 4min,Comedy; Drama; Music; ,4 December 2015 (USA),7.3
948,R,1h 58min,Drama; Music; ,16 December 1977 (USA),6.8
949,PG,1h 47min,Drama; Music; Romance; ,17 February 1984 (USA),6.6
950,PG-13,2h 10min,Drama; Music; ,25 December 2006 (USA),6.5
951,R,1h 36min,Comedy; Drama; Music; ,21 December 2007 (USA),6.8
952,PG,1h 48min,Comedy; Drama; Music; ,4 October 1996 (USA),6.9
953,R,2h 2min,Biography; Drama; Music; ,26 September 2007 (France),7.7
954,R,1h 56min,Drama; Music; ,2 March 2007 (USA),6.9
955,R,1h 35min,Comedy; Drama; Music; ,11 June 2004 (USA),7.1
956,PG,1h 30min,Comedy; Music; ,8 June 1984 (USA),7.2
957,R,2h 49min,Drama; Music; Romance; ,28 October 1998 (Italy),8.1
958,PG-13,1h 52min,Drama; Music; Romance; ,12 January 2001 (USA),6.2
959,PG-13,1h 22min,Comedy; Music; Romance; ,2 October 1998 (USA),6.3
960,PG-13,1h 37min,Drama; Music; ,17 March 2004 (France),7.9
961,R,2h 15min,Biography; Drama; Music; ,7 December 2007 (USA),6.9
962,PG-13,1h 33min,Comedy; Music; ,22 December 2017 (USA),5.8
963,R,1h 27min,Comedy; Music; ,3 June 2016 (USA),6.7
964,R,1h 55min,Comedy; Drama; Music; ,1 July 2015 (USA),5.6
965,PG-13,1h 57min,Biography; Drama; Music; ,24 April 2009 (USA),6.7
966,PG-13,1h 45min,Biography; Drama; Music; ,14 February 1997 (USA),7.7
967,PG,1h 28min,Comedy; Music; ,10 November 1968 (USA),7.6
968,PG-13,1h 30min,Comedy; Drama; Music; ,20 October 1995 (USA),6.7
969,PG-13,2h 10min,Drama; Music; ,19 June 2009 (USA),8.1
970,R,1h 35min,Drama; Music; Romance; ,15 April 1983 (USA),6.2
971,R,1h 46min,Biography; Drama; Music; ,8 April 2010 (Malaysia),6.5
972,R,1h 44min,Comedy; Music; ,10 August 1994 (USA),7.4
973,PG-13,1h 53min,Comedy; Drama; Music; ,14 October 2011 (USA),5.9
974,R,1h 37min,Drama; Horror; Music; ,19 September 2018 (France),7.1
975,R,1h 29min,Drama; History; Music; ,8 June 2018 (Poland),7.6
976,PG-13,1h 34min,Drama; Music; Romance; ,5 December 2003 (USA),5.4
977,PG-13,1h 46min,Comedy; Drama; Music; ,15 October 2004 (USA),6.1
978,Not Rated,2h 47min,Comedy; Drama; Music; ,12 December 2008 (USA),7.2
979,R,1h 45min,Drama; Music; ,7 September 2001 (USA),6.3
980,R,1h 38min,Drama; Fantasy; Music; ,22 November 1991 (USA),7.8
981,TV-MA,1h 58min,Biography; Drama; Music; ,7 June 2013 (UK),7.0
982,G,1h 27min,Comedy; Music; ,7 July 1964 (UK),7.6
983,R,1h 56min,Crime; Drama; Music; ,22 July 2005 (USA),7.3
984,Not Rated,2h 39min,Drama; Music; ,11 November 2011 (USA),7.7
985,PG-13,2h 3min,Comedy; Music; ,26 June 2020 (USA),6.6
986,PG-13,1h 42min,Comedy; Music; ,20 August 2008 (USA),6.2
987,PG-13,2h 1min,Biography; Drama; Music; ,19 June 2015 (USA),7.4
988,PG,2h 23min,Drama; Music; ,19 January 1996 (USA),7.3
989,R,1h 35min,Comedy; Music; ,13 August 1999 (USA),6.9
990,R,1h 58min,Drama; Music; ,23 October 1998 (UK),7.0
991,Not Rated,3h,Action; Comedy; Music; ,24 October 2014 (USA),5.0
992,PG,1h 33min,Comedy; Music; ,23 January 1998 (USA),3.5
993,R,2h 11min,Drama; Music; Romance; ,17 August 2001 (USA),5.9
994,R,2h 14min,Biography; Drama; Music; ,20 June 2014 (USA),6.8
995,PG-13,1h 35min,Comedy; Drama; Music; ,10 March 2000 (USA),7.2
996,R,1h 58min,Comedy; Drama; Music; ,13 September 1991 (USA),7.6
997,R,1h 35min,Comedy; Drama; Music; ,31 August 2001 (USA),7.7
998,R,2h 10min,Drama; Music; Mystery; ,11 June 1999 (USA),7.6
999,R,1h 33min,Drama; Music; ,28 August 1998 (USA),5.9
1000,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6
1001,PG-13,2h 10min,Drama; Mystery; Sci-Fi; ,20 October 2006 (USA),8.5
1002,R,1h 53min,Mystery; Thriller; ,25 May 2001 (USA),8.4
1003,R,2h 18min,Mystery; Thriller; ,19 February 2010 (USA),8.1
1004,R,1h 46min,Crime; Mystery; Thriller; ,16 August 1995 (USA),8.5
1005,PG-13,1h 47min,Drama; Mystery; Thriller; ,6 August 1999 (USA),8.1
1006,R,2h 29min,Drama; Mystery; Thriller; ,3 October 2014 (USA),8.1
1007,R,1h 53min,Drama; Mystery; Sci-Fi; ,30 January 2002 (France),8.0
1008,PG-13,2h 26min,Action; Adventure; Mystery; ,22 November 2013 (USA),7.5
1009,PG-13,1h 55min,Action; Mystery; Thriller; ,3 August 2007 (USA),8.0
1010,R,2h 27min,Drama; Mystery; War; ,15 August 1979 (USA),8.4
1011,PG-13,1h 55min,Crime; Mystery; Thriller; ,31 May 2013 (USA),7.3
1012,R,1h 49min,Horror; Mystery; Thriller; ,8 September 1960 (USA),8.5
1013,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1
1014,PG-13,2h 8min,Action; Adventure; Mystery; ,25 December 2009 (USA),7.6
1015,PG-13,1h 56min,Drama; Mystery; Sci-Fi; ,11 November 2016 (USA),7.9
1016,R,2h 9min,Mystery; Sci-Fi; Thriller; ,5 January 1996 (USA),8.0
1017,R,2h 4min,Adventure; Mystery; Sci-Fi; ,8 June 2012 (USA),7.0
1018,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2
1019,R,1h 41min,Action; Drama; Mystery; ,21 November 2003 (South Korea),8.4
1020,PG-13,1h 59min,Action; Mystery; Thriller; ,14 June 2002 (USA),7.9
1021,PG-13,2h 25min,Action; Crime; Mystery; ,21 June 2002 (USA),7.6
1022,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8
1023,R,2h 42min,Action; Drama; Mystery; ,6 March 2009 (USA),7.6
1024,PG-13,1h 33min,Action; Drama; Mystery; ,1 April 2011 (USA),7.5
1025,R,1h 44min,Horror; Mystery; Thriller; ,24 February 2017 (USA),7.7
1026,R,1h 48min,Drama; Mystery; Sci-Fi; ,24 April 2015 (USA),7.7
1027,R,2h 1min,Action; Comedy; Mystery; ,20 April 2007 (USA),7.8
1028,R,2h 37min,Crime; Drama; Mystery; ,2 March 2007 (USA),7.7
1029,R,2h 44min,Action; Drama; Mystery; ,6 October 2017 (USA),8.0
1030,PG,1h 52min,Mystery; Thriller; ,September 1954 (USA),8.4
1031,R,1h 52min,Horror; Mystery; Thriller; ,19 July 2013 (USA),7.5
1032,PG-13,1h 48min,Action; Mystery; Thriller; ,23 July 2004 (USA),7.7
1033,PG-13,2h 19min,Action; Adventure; Mystery; ,21 March 2014 (USA),6.7
1034,PG-13,2h 9min,Action; Adventure; Mystery; ,16 December 2011 (USA),7.5
1035,R,2h 18min,Crime; Drama; Mystery; ,15 October 2003 (USA),7.9
1036,R,2h 38min,Crime; Drama; Mystery; ,21 December 2011 (USA),7.8
1037,PG-13,1h 53min,Action; Mystery; Sci-Fi; ,19 September 2014 (USA),6.8
1038,PG-13,2h 29min,Mystery; Thriller; ,19 May 2006 (USA),6.6
1039,PG,1h 59min,Drama; Mystery; ,5 September 1941 (USA),8.3
1040,PG-13,1h 46min,Drama; Mystery; Sci-Fi; ,22 November 2000 (USA),7.3
1041,R,1h 43min,Horror; Mystery; ,29 October 2004 (USA),7.6
1042,R,1h 49min,Horror; Mystery; Sci-Fi; ,25 June 1982 (USA),8.1
1043,PG,2h 8min,Mystery; Romance; Thriller; ,22 May 1958 (UK),8.3
1044,R,2h 17min,Drama; Mystery; Thriller; ,30 March 2007 (USA),8.4
1045,R,2h 52min,Action; Drama; Mystery; ,26 October 2012 (USA),7.4
1046,R,2h 9min,Drama; Mystery; Thriller; ,12 September 1997 (USA),7.8
1047,PG-13,1h 52min,Mystery; Sci-Fi; Thriller; ,10 June 2011 (USA),7.0
1048,PG-13,1h 46min,Drama; Mystery; Sci-Fi; ,2 August 2002 (USA),6.7
1049,R,2h 9min,Crime; Drama; Mystery; ,24 March 2006 (USA),7.6
1050,PG-13,1h 44min,Horror; Mystery; Thriller; ,10 August 2001 (USA),7.6
1051,R,1h 37min,Drama; Mystery; Sci-Fi; ,10 July 2009 (USA),7.9
1052,R,1h 45min,Fantasy; Horror; Mystery; ,19 November 1999 (USA),7.3
1053,R,2h 24min,Drama; Mystery; Thriller; ,17 October 1997 (USA),7.5
1054,PG-13,1h 55min,Horror; Mystery; ,18 October 2002 (USA),7.1
1055,R,2h 27min,Drama; Mystery; Thriller; ,19 October 2001 (USA),8.0
1056,PG,2h 11min,Action; Adventure; Mystery; ,19 November 2004 (USA),6.9
1057,R,1h 50min,Crime; Drama; Mystery; ,7 April 2006 (USA),7.7
1058,R,2h 39min,Drama; Mystery; Thriller; ,16 July 1999 (USA),7.4
1059,PG-13,1h 40min,Action; Mystery; Thriller; ,23 July 2010 (USA),6.4
