,movie_rated,run_length,genres,release_date,rating
156,G,1h 36min,Animation; Adventure; Comedy; ,15 April 2011 (USA),6.9
157,PG,1h 30min,Animation; Adventure; Comedy; ,18 September 2009 (USA),6.9
158,G,1h 33min,Animation; Adventure; Comedy; ,27 June 1997 (USA),7.3
159,PG,1h 29min,Animation; Adventure; Comedy; ,7 November 2008 (USA),6.6
160,G,1h 28min,Animation; Adventure; ,18 June 1999 (USA),7.3
161,PG,1h 58min,Animation; Adventure; Drama; ,19 July 2019 (USA),6.9
162,PG,1h 27min,Animation; Adventure; Comedy; ,25 November 2009 (USA),7.9
163,PG,1h 40min,Animation; Drama; ,6 February 2009 (USA),7.7
164,R,1h 21min,Animation; Comedy; Fantasy; ,30 June 1999 (USA),7.7
165,PG,1h 28min,Animation; Adventure; Comedy; ,13 July 2012 (USA),6.6
166,PG,1h 38min,Animation; Action; Adventure; ,22 March 2013 (USA),7.2
167,PG,1h 36min,Animation; Adventure; Comedy; ,21 November 2008 (USA),6.8
168,G,1h 40min,Animation; Adventure; Comedy; ,21 June 2019 (USA),7.8
169,PG,1h 33min,Animation; Adventure; Comedy; ,21 May 2010 (USA),6.3
170,PG,1h 27min,Animation; Adventure; Comedy; ,8 July 2016 (USA),6.5
171,PG,1h 44min,Animation; Adventure; Comedy; ,22 June 1988 (USA),7.7
172,Approved,1h 23min,Animation; Fantasy; ,4 February 1938 (USA),7.6
173,G,1h 18min,Animation; Adventure; Comedy; ,15 December 2000 (USA),7.3
174,PG,1h 46min,Animation; Drama; Fantasy; ,7 April 2017 (USA),8.4
175,PG,1h 47min,Animation; Comedy; ,21 November 2007 (USA),7.0
176,G,1h 24min,Animation; Adventure; Comedy; ,23 June 2000 (USA),7.0
177,R,1h 29min,Animation; Adventure; Comedy; ,12 August 2016 (USA),6.1
178,PG,1h 26min,Animation; Action; Adventure; ,6 August 1999 (USA),8.0
179,G,1h 40min,Animation; Adventure; Comedy; ,10 November 2004 (USA),6.6
180,PG,1h 48min,Animation; Adventure; Comedy; ,17 November 2006 (USA),6.4
181,G,1h 21min,Animation; Adventure; Drama; ,23 June 1995 (USA),6.7
182,PG,1h 30min,Animation; Adventure; Comedy; ,1 October 2004 (USA),6.0
183,PG,1h 25min,Animation; Adventure; Comedy; ,21 June 2002 (USA),7.2
184,G,1h 18min,Animation; Adventure; ,18 October 1967 (USA),7.6
185,Not Rated,1h 32min,Animation; Comedy; Drama; ,9 April 2009 (Australia),8.1
186,PG-13,1h 55min,Animation; Action; Adventure; ,16 November 2007 (USA),6.2
187,PG,1h 33min,Animation; Adventure; Comedy; ,8 June 2012 (USA),6.8
188,R,2h 4min,Animation; Drama; Sci-Fi; ,16 July 1988 (Japan),8.0
189,PG,1h 28min,Animation; Adventure; Comedy; ,15 November 1996 (USA),6.4
190,PG,1h 23min,Animation; Adventure; Comedy; ,19 May 2006 (USA),6.7
191,G,1h 46min,Animation; Adventure; Comedy; ,24 June 2011 (USA),6.1
192,PG,1h 37min,Animation; Action; Adventure; ,21 November 2012 (USA),7.3
193,G,1h 19min,Animation; Adventure; Comedy; ,25 January 1961 (USA),7.2
194,PG,1h 23min,Animation; Adventure; Comedy; ,2 October 1998 (USA),6.5
195,PG,2h 5min,Animation; Adventure; Drama; ,2 August 1986 (Japan),8.0
196,PG,1h 34min,Animation; Action; Adventure; ,27 March 2009 (USA),6.4
197,PG,1h 57min,Animation; Adventure; Fantasy; ,25 November 1987 (USA),8.1
198,G,1h 14min,Animation; Fantasy; ,4 March 1950 (USA),7.3
