,movie_rated,run_length,release_date,rating,genre_action,genre_adventure,genre_sci-fi,genre_drama,genre_fantasy,genre_war,genre_comedy,genre_animation,genre_crime,genre_thriller,genre_mystery,genre_horror,genre_biography,genre_history,genre_music,genre_sport,genre_romance,genre_western
100,G,1h 38min,27 June 2008 (USA),8.4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
101,G,1h 40min,30 May 2003 (USA),8.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
102,G,1h 28min,24 June 1994 (USA),8.5,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
103,PG,1h 36min,29 May 2009 (USA),8.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
104,G,1h 21min,22 November 1995 (USA),8.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
105,G,1h 32min,2 November 2001 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
106,G,1h 43min,18 June 2010 (USA),8.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
107,PG,1h 38min,26 March 2010 (USA),8.1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
108,PG,1h 55min,5 November 2004 (USA),8.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
109,G,1h 51min,29 June 2007 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
110,PG,2h 5min,28 March 2003 (USA),8.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
111,PG,1h 30min,18 May 2001 (USA),7.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
112,PG,1h 35min,19 June 2015 (USA),8.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
113,PG,1h 42min,27 November 2013 (USA),7.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
114,G,1h 32min,24 November 1999 (USA),7.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
115,PG,1h 35min,9 July 2010 (USA),7.6,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
116,PG,1h 21min,15 March 2002 (USA),7.5,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
117,PG,1h 48min,4 March 2016 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
118,G,1h 24min,22 November 1991 (USA),8.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
119,PG,1h 33min,19 May 2004 (USA),7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
120,PG,1h 32min,6 June 2008 (USA),7.5,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
121,PG,1h 42min,7 November 2014 (USA),7.8,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
122,PG,1h 40min,24 November 2010 (USA),7.7,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
123,PG,1h 41min,2 November 2012 (USA),7.7,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
124,PG,1h 33min,22 June 2012 (USA),7.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
125,PG,1h 38min,3 July 2013 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
126,G,1h 30min,25 November 1992 (USA),8.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
127,PG,1h 26min,27 May 2005 (USA),6.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
128,G,1h 57min,9 June 2006 (USA),7.1,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
129,PG,1h 45min,22 November 2017 (USA),8.4,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
130,PG-13,2h 14min,19 December 1997 (USA),8.4,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
131,PG,1h 57min,14 December 2018 (USA),8.4,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
132,PG,1h 40min,7 February 2014 (USA),7.7,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
133,PG,1h 59min,17 June 2005 (USA),8.2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
134,G,1h 44min,21 June 2013 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
135,PG-13,1h 27min,27 July 2007 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
136,PG,1h 42min,13 June 2014 (USA),7.8,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
137,PG,1h 16min,29 October 1993 (USA),8.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
138,G,1h 26min,13 July 1990 (USA),8.2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
139,PG,1h 33min,18 May 2007 (USA),6.1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
140,G,1h 35min,25 November 1998 (USA),7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
141,PG,1h 47min,23 November 2016 (USA),7.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
142,PG,1h 31min,31 March 2006 (USA),6.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
143,PG,1h 30min,26 May 2011 (USA),7.2,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
144,G,1h 28min,19 June 1998 (USA),7.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
145,PG,1h 58min,15 June 2018 (USA),7.6,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
146,PG,1h 17min,23 September 2005 (USA),7.3,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
147,PG,1h 37min,17 June 2016 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
148,G,1h 23min,17 November 1989 (USA),7.6,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
149,PG,1h 47min,4 March 2011 (USA),7.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
150,Not Rated,1h 29min,26 July 1989 (USA),8.5,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
151,PG,1h 35min,5 November 2010 (USA),7.2,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
152,PG,1h 34min,1 July 2009 (USA),6.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
153,PG,1h 31min,28 September 2012 (USA),7.1,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
154,PG,1h 47min,21 December 2011 (USA),7.3,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
155,PG,1h 31min,10 July 2015 (USA),6.4,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
